"isolate.id","genus","species","media","source","plate.temperature","experiment.ID","temperature","dilution","replicate","mu","r2","se","best.model","best.model.n","best.model.r2","drop.dilution.Q","mu.mn","mu.sd","zscore","outlier.QC","lowT","highT","range.QC","isolate.id.media","id"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",16,"2","4",0.609828501817848,0.997626429528773,0.0145580839042163,"gr.lagsat",9,0.997632132792411,0,0.529179489599945,0.0813830678276974,0.990980241598306,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",16,"3","1",0.452611019342934,0.996060043752314,0.0129294725739041,"gr.lagsat",11,0.994508923443146,0,0.529179489599945,0.0813830678276974,-0.940840303773265,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",16,"3","2",0.350501073821607,0.978473155553417,0.016903519823502,"gr.sat",14,0.960838897439624,0,0.529179489599945,0.0813830678276974,-2.19552322795981,1,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",16,"3","3",0.511181500507271,0.988561387371221,0.0212309648454986,"gr.sat",10,0.993134200017305,0,0.529179489599945,0.0813830678276974,-0.221151519266626,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",16,"3","4",0.425993057364389,0.985388195357621,0.0172256999020665,"gr.sat",13,0.974376282340025,0,0.529179489599945,0.0813830678276974,-1.26791032815352,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",2,"1","1",0.11094113065691,0.279190418275295,0.0687530155972821,"gr.lag",5,0.754458112292794,0,0.145581339749099,0.119773314952736,-0.289214747924927,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",2,"1","2",-0.0359260167336367,0.337324578410185,0.0107355467090256,"gr",24,0.337324578410185,0,0.145581339749099,0.119773314952736,-1.51542400370533,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",2,"1","3",0.206453329516484,0.622272443956329,0.0673134120698012,"gr.lag",7,0.954829334308478,0,0.145581339749099,0.119773314952736,0.508226642899598,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",2,"1","4",0.365836402210876,0.747384567576222,0.188477676453773,"gr.lagsat",3,0.685395685622275,0,0.145581339749099,0.119773314952736,1.83893267501774,1,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",2,"2","1",0.0845886829895056,0.858635135316764,0.00767474011920578,"gr",22,0.858635135316764,0,0.145581339749099,0.119773314952736,-0.509234104304963,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",2,"2","2",0.0693652331724512,0.652127023113736,0.0113284658802177,"gr",22,0.652127023113736,0,0.145581339749099,0.119773314952736,-0.63633628748376,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",2,"2","3",0.271876592113449,0.994428163826339,0.00455060648219929,"gr",22,0.994428163826339,0,0.145581339749099,0.119773314952736,1.05445234119292,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",2,"2","4",0.0915153640667496,0.83289826738949,0.0091658661533908,"gr",22,0.83289826738949,0,0.145581339749099,0.119773314952736,-0.451402515691278,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",20,"1","1",0.565655769952453,0.984763704784407,0.0320603951446764,"gr.lag",8,0.979665893997561,0,0.584944510294242,0.086527150550958,-0.222921247480916,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",20,"1","2",0.787426941379881,0.994939034871069,0.0436663115283665,"gr.lagsat",5,0.988850288433542,0,0.584944510294242,0.086527150550958,2.34010284397835,1,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",20,"1","3",0.670169752742208,0.993072940516844,0.0372932400314048,"gr.lagsat",6,0.987293520593988,0,0.584944510294242,0.086527150550958,0.984953761972955,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",20,"1","4",0.454106360679626,0.985133724267094,0.052512266473068,"gr.lagsat",4,0.985334906771889,0,0.584944510294242,0.086527150550958,-1.51210514597452,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",20,"2","1",0.561665944725061,0.985250701201966,0.0259741523101259,"gr",9,0.985250701201966,0,0.584944510294242,0.086527150550958,-0.269031921436859,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
